name,accuracy,train_time,test_time,dimensions,method,encoding,iterations,lr,chunks,threshold,reduce_subclass,model_quantize,epsilon,alpha,beta,theta,r,lazy_regeneration,model_neural,lazy_regeneration,model_neural,partial_data,robustness_failed_dimensions,weight_decay,learning_rate,dropout_rate
ConnBenchSonarMinesRocks,0.7307692307692307,0.15357017517089844,0.02335381507873535,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
ConnBenchSonarMinesRocks,0.7884615384615384,0.1539146900177002,0.023372888565063477,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
ConnBenchVowelDeterding,0.8961038961038961,0.21300959587097168,0.10437798500061035,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
ConnBenchVowelDeterding,0.8636363636363636,0.21409034729003906,0.10066366195678711,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
ConnBenchVowelDeterding,0.8917748917748918,0.2121598720550537,0.1006772518157959,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
ConnBenchVowelDeterding,0.8961038961038961,0.2132251262664795,0.10055279731750488,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
ConnBenchVowelDeterding,0.9285714285714286,0.21209025382995605,0.10050249099731445,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Connect4,0.8579548818757772,6.642621755599976,3.2413718700408936,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Connect4,0.8554680561312097,6.651457786560059,3.2487850189208984,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Connect4,0.8533957013440701,6.7183544635772705,3.1366491317749023,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Connect4,0.8547575344899047,6.730028867721558,3.2753679752349854,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
