name,accuracy,train_time,test_time,dimensions,method,encoding,iterations,lr,chunks,threshold,reduce_subclass,model_quantize,epsilon,alpha,beta,theta,r,lazy_regeneration,model_neural,lazy_regeneration,model_neural,partial_data,robustness_failed_dimensions
MNIST,0.9078999757766724,38.714303731918335,50.41407012939453,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,10
MNIST,0.8952999711036682,38.714303731918335,52.37160038948059,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,20
MNIST,0.8432000279426575,38.714303731918335,51.415058851242065,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,30
MNIST,0.6378999948501587,38.714303731918335,55.34072780609131,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,40
MNIST,0.09880000352859497,38.714303731918335,54.64110088348389,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,50
MNIST,0.002099999925121665,38.714303731918335,55.391767263412476,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,60
MNIST,0.0003000000142492354,38.714303731918335,54.71689176559448,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,70
MNIST,0.00019999999494757503,38.714303731918335,53.5768187046051,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,80
MNIST,9.999999747378752e-05,38.714303731918335,51.88767123222351,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,90
MNIST,9.999999747378752e-05,38.714303731918335,55.31437587738037,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,100
EMGHandGestures,0.9936708807945251,0.19803261756896973,0.8639283180236816,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,0
EMGHandGestures,0.9936708807945251,0.19803261756896973,0.8343040943145752,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,5
EMGHandGestures,0.9936708807945251,0.19803261756896973,0.6496891975402832,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,10
EMGHandGestures,0.9936708807945251,0.19803261756896973,0.596320629119873,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,20
EMGHandGestures,0.9936708807945251,0.19803261756896973,0.841576337814331,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,30
EMGHandGestures,0.9936708807945251,0.19803261756896973,0.8771781921386719,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,40
EMGHandGestures,0.19620253145694733,0.19803261756896973,0.6075830459594727,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,50
EMGHandGestures,0.0,0.19803261756896973,0.6969730854034424,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,60
EMGHandGestures,0.0,0.19803261756896973,0.8616325855255127,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,70
EMGHandGestures,0.0,0.19803261756896973,0.8446371555328369,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,80
EMGHandGestures,0.0,0.19803261756896973,0.6916844844818115,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,90
EMGHandGestures,0.0,0.19803261756896973,0.6056747436523438,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,100
PAMAP,0.9970470070838928,74.57612729072571,292.273334980011,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,0
PAMAP,0.9963593482971191,74.57612729072571,312.95944452285767,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,5
PAMAP,0.9954559206962585,74.57612729072571,326.084410905838,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,10
PAMAP,0.9911140203475952,74.57612729072571,339.65615725517273,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,20
PAMAP,0.9760659337043762,74.57612729072571,298.70270013809204,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,30
PAMAP,0.874774158000946,74.57612729072571,285.40593671798706,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,40
PAMAP,0.07915104925632477,74.57612729072571,287.4844582080841,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,50
PAMAP,0.0,74.57612729072571,225.3089370727539,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,60
PAMAP,0.0,74.57612729072571,263.6720187664032,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,70
PAMAP,0.0,74.57612729072571,247.9313781261444,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,80
PAMAP,0.0,74.57612729072571,284.36770844459534,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,90
PAMAP,0.0,74.57612729072571,270.2397429943085,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,100
ISOLET,0.7633098363876343,4.0265984535217285,7.236473083496094,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,0
ISOLET,0.7626683712005615,4.0265984535217285,6.347490549087524,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,5
ISOLET,0.7581782937049866,4.0265984535217285,7.495433568954468,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,10
ISOLET,0.74663245677948,4.0265984535217285,7.207778692245483,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,20
ISOLET,0.6959589719772339,4.0265984535217285,7.157323122024536,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,30
ISOLET,0.5535599589347839,4.0265984535217285,7.092578649520874,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,40
ISOLET,0.042976267635822296,4.0265984535217285,8.185399532318115,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,50
ISOLET,0.0,4.0265984535217285,6.745849847793579,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,60
ISOLET,0.0,4.0265984535217285,7.46406364440918,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,70
ISOLET,0.0,4.0265984535217285,8.331730604171753,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,80
ISOLET,0.0,4.0265984535217285,8.554139375686646,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,90
ISOLET,0.0,4.0265984535217285,7.900056600570679,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,100
UCIHAR,0.7292161583900452,4.950852394104004,11.699020385742188,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,0
UCIHAR,0.7288768291473389,4.950852394104004,13.109214305877686,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,5
UCIHAR,0.7248048782348633,4.950852394104004,10.69178056716919,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,10
UCIHAR,0.7153037190437317,4.950852394104004,11.988328456878662,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,20
UCIHAR,0.6946046948432922,4.950852394104004,12.560203790664673,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,30
UCIHAR,0.6213098168373108,4.950852394104004,11.927334308624268,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,40
UCIHAR,0.16559213399887085,4.950852394104004,12.315949440002441,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,50
UCIHAR,0.01221581269055605,4.950852394104004,11.924023389816284,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,60
UCIHAR,0.004411265719681978,4.950852394104004,11.813982248306274,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,70
