Name,Accuracy,AccuracyInitial,Time,Dimensions,Method,Encoding,Iterations,Retrain
Bank,0.8637168407440186,0.8699114918708801,737.6363546848297,10000,add_adjust,flocet,43,False
Bank,0.8672566413879395,0.8699114918708801,662.6630363464355,10000,add_adjust,flocet,45,False
Blood,0.7326202988624573,0.6470588445663452,153.84374070167542,10000,add_adjust,flocet,50,False
Blood,0.7540106773376465,0.6898396015167236,153.31189703941345,10000,add_adjust,flocet,50,False
Blood,0.7326202988624573,0.6096256971359253,106.88317799568176,10000,add_adjust,flocet,43,False
BreastCancer,0.7042253613471985,0.6619718074798584,8.167030334472656,10000,add_adjust,flocet,9,False
BreastCancer,0.7042253613471985,0.6056337952613831,41.56861424446106,10000,add_adjust,flocet,39,False
BreastCancer,0.7183098793029785,0.5633803009986877,48.41992783546448,10000,add_adjust,flocet,50,False
BreastCancerWisc,0.9599999785423279,0.977142870426178,33.39119052886963,10000,add_adjust,flocet,13,False
BreastCancerWisc,0.9599999785423279,0.954285740852356,17.60124373435974,10000,add_adjust,flocet,8,False
BreastCancerWisc,0.9599999785423279,0.9828571677207947,36.127127170562744,10000,add_adjust,flocet,17,False
BreastCancerWiscDiag,0.9577465057373047,0.9788732528686523,10.116939067840576,10000,add_adjust,flocet,6,False
BreastCancerWiscDiag,0.9577465057373047,0.9507042169570923,17.58807134628296,10000,add_adjust,flocet,11,False
BreastCancerWiscDiag,0.9436619877815247,0.9718309640884399,10.358679056167603,10000,add_adjust,flocet,6,False
